client_id,ticker,quantity,market_value
C001,5110,6607,356778
C001,2280,24892,871220
C002,7020,21971,1208405
C002,7010,8196,327840
C002,2010,28618,658214
C003,2222,9773,234552
C003,2350,7913,443128
C003,7010,29716,1188640
C004,2280,29989,1469461
C004,7020,5681,204516
C004,7010,5575,195125
C005,1211,8186,229208
C005,2010,17696,902496
C005,5110,3978,91494
C005,7010,29216,788832
C005,4013,6008,360480
C005,1180,6242,293374
C006,1120,29206,584120
C006,7010,23291,628857
C006,2280,23338,1260252
C006,7020,25604,947348
C006,2010,26185,1073585
C006,1211,4655,176890
C007,1180,17635,458510
C007,7020,29525,1771500
C007,2222,10779,646740
C007,2010,17635,1022830
C007,4013,7517,217993
C008,1180,20626,825040
C008,1211,17010,357210
C008,2280,4665,200595
C008,2222,29793,1161927
C009,2222,3580,89500
C009,1010,24983,1274133
C009,5110,27739,665736
C010,1180,18290,1060820
C010,4013,14865,490545
C010,7020,18671,597472
C010,1211,24361,950079
C010,2280,14074,605182
C010,5110,15355,813815
C011,1120,1689,96273
C011,1010,19150,651100
C011,2280,20282,689588
C011,4013,1235,29640
C011,2350,24194,1451640
C012,1010,2029,83189
C012,1120,3321,172692
C013,2010,8020,433080
C013,2280,5335,298760
C013,7020,19881,994050
C014,7020,4090,106340
C014,7010,22593,1061871
C014,1010,12609,592623
C015,7020,24862,1019342
C015,2222,27233,708058
C015,1120,9147,292704
C015,2280,7232,390528
C015,7010,15700,439600
C016,1180,15520,853600
C016,2010,4208,96784
C016,7020,22369,1207926
C016,1010,28394,567880
C016,1120,4056,141960
C017,7010,8004,360180
C017,7020,2921,87630
C017,2280,13418,268360
C018,2010,6072,194304
C018,7020,10722,353826
C018,4013,2916,166212
C018,7010,25108,1355832
C018,2280,2997,119880
