ticker,isin,name_en,name_ar,sector,asset_class,shariah_flag
2222,SA14TG012N13,Saudi Aramco,أرامكو السعودية,Energy,Equity,
1120,SA0007879113,Al Rajhi Bank,مصرف الراجحي,Banking,Equity,
1180,SA13L050IE10,Saudi National Bank,البنك الأهلي السعودي,Banking,Equity,
1010,SA0007879048,Riyad Bank,بنك الرياض,Banking,Equity,
2010,SA0007879121,SABIC,سابك,Petrochemicals,Equity,
2350,SA000A0MQCJ2,Saudi Kayan,كيان السعودية,Petrochemicals,Equity,
7010,SA0007879543,stc,الاتصالات السعودية,Telecom,Equity,
7020,SA000A0DM9P2,Etihad Etisalat (Mobily),اتحاد اتصالات - موبايلي,Telecom,Equity,
1211,SA123GA0ITH7,Ma'aden,معادن,Materials,Equity,
5110,SA0007879550,Saudi Electricity,السعودية للكهرباء,Utilities,Equity,
2280,SA000A0ETHT1,Almarai,المراعي,Consumer,Equity,
4013,SA1510P1UMH1,Dr. Sulaiman Al Habib,د. سليمان الحبيب,Healthcare,Equity,
