ticker,isin,name_en,sector
2222,SA14TG012N13,Saudi Aramco,Energy
1120,SA0007879113,Al Rajhi Bank,Banking
1180,SA13L050IE10,Saudi National Bank,Banking
1010,SA0007879048,Riyad Bank,Banking
2010,SA0007879121,SABIC,Petrochemicals
2350,SA000A0MQCJ2,Saudi Kayan,Petrochemicals
7010,SA0007879543,stc,Telecom
7020,SA000A0DM9P2,Etihad Etisalat (Mobily),Telecom
1211,SA123GA0ITH7,Ma'aden,Materials
5110,SA0007879550,Saudi Electricity,Utilities
2280,SA000A0ETHT1,Almarai,Consumer
4013,SA1510P1UMH1,Dr. Sulaiman Al Habib,Healthcare
